Wall time,Step,Value
1603502012.730369,0,0.40625
1603502023.1445367,100,0.755859375
1603502033.5334125,200,0.8402343988418579
1603502043.933597,300,0.8524218797683716
1603502054.3221622,400,0.8608593940734863
1603502064.7254024,500,0.8682031035423279
1603502075.125112,600,0.8706250190734863
1603502085.5100393,700,0.8728906512260437
1603502095.9136257,800,0.8740624785423279
1603502106.3319438,900,0.8735156059265137
1603502116.7699869,1000,0.8677343726158142
1603502127.163512,1100,0.872265636920929
1603502137.5669007,1200,0.8762500286102295
1603502147.9461434,1300,0.875
1603502158.3600786,1400,0.8717968463897705
1603502168.7649758,1500,0.878125011920929
1603502179.1511376,1600,0.8790624737739563
1603502189.5237598,1700,0.8783593773841858
1603502199.958308,1800,0.8783593773841858
1603502210.3655882,1900,0.8828125
1603502220.7797592,2000,0.8857031464576721
1603502231.1849573,2100,0.8814843893051147
1603502241.9346087,2200,0.8984375
1603502262.8319147,2300,0.9791406393051147
1603502283.7548752,2400,0.9935156106948853
1603502304.5986958,2500,0.9950000047683716
1603502325.4986453,2600,0.99609375
1603502346.4889019,2700,0.996874988079071
1603502367.4207535,2800,0.9962499737739563
1603502388.3010018,2900,0.9969531297683716
1603502409.1724906,3000,0.997265636920929
1603502430.0908053,3100,0.9976562261581421
1603502451.007857,3200,0.9982812404632568
1603502471.9588866,3300,0.9986718893051147
1603502492.8691962,3400,0.9985937476158142
1603502513.829994,3500,0.998046875
1603502534.7716646,3600,0.9985937476158142
1603502555.6431386,3700,0.9983593821525574
1603502576.5580487,3800,0.9979687333106995
1603502597.4941325,3900,0.9982030987739563
1603502618.395916,4000,0.9978906512260437
1603502639.287429,4100,0.9982812404632568
1603502660.174023,4200,0.9982812404632568
1603502681.145612,4300,0.998828113079071
1603502702.362491,4400,1.0
1603502723.2624078,4500,0.9996874928474426
1603502744.134085,4600,0.9989062547683716
1603502765.0060034,4700,0.998828113079071
1603502785.9881713,4800,0.9989062547683716
1603502806.9174335,4900,0.9990624785423279
1603502827.8770602,5000,0.998828113079071
1603502848.8002515,5100,0.9989062547683716
1603502869.7337933,5200,0.999218761920929
1603502890.66216,5300,0.9989062547683716
1603502911.6139464,5400,0.9987499713897705
1603502932.4660397,5500,0.9985937476158142
1603502953.3829134,5600,0.998828113079071
1603502974.2996364,5700,0.9990624785423279
1603502995.1973598,5800,0.9993749856948853
1603503016.1479783,5900,0.999218761920929
1603503037.057857,6000,0.9990624785423279
1603503057.9787092,6100,0.9983593821525574
1603503078.8996174,6200,0.9990624785423279
1603503099.7767165,6300,0.999218761920929
1603503120.7356515,6400,0.999218761920929
1603503141.6282861,6500,0.9990624785423279
