Wall time,Step,Value
1603502012.7301571,0,0.9747671484947205
1603502023.1444004,100,0.49735304713249207
1603502033.5332925,200,0.35554274916648865
1603502043.9334817,300,0.3311077356338501
1603502054.3220286,400,0.31441789865493774
1603502064.725279,500,0.30197224020957947
1603502075.124928,600,0.2947939932346344
1603502085.509904,700,0.29076486825942993
1603502095.9135156,800,0.29564666748046875
1603502106.3318338,900,0.2979699373245239
1603502116.7698762,1000,0.30420276522636414
1603502127.1634018,1100,0.28974649310112
1603502137.5667856,1200,0.2835789918899536
1603502147.9460378,1300,0.29260680079460144
1603502158.3599608,1400,0.3001241385936737
1603502168.7648683,1500,0.2834641933441162
1603502179.1510296,1600,0.28270789980888367
1603502189.523652,1700,0.28418827056884766
1603502199.9581969,1800,0.2800734341144562
1603502210.365487,1900,0.271155446767807
1603502220.7796435,2000,0.277924120426178
1603502231.1848507,2100,0.2849500775337219
1603502241.934397,2200,0.2805016040802002
1603502262.8317473,2300,0.05605129897594452
1603502283.754731,2400,0.016083206981420517
1603502304.598501,2500,0.01475130207836628
1603502325.4984665,2600,0.010989298112690449
1603502346.4887235,2700,0.00807506125420332
1603502367.4205914,2800,0.008988156914710999
1603502388.3008647,2900,0.008819710463285446
1603502409.1723483,3000,0.008371331728994846
1603502430.0906506,3100,0.006023910362273455
1603502451.0076613,3200,0.004909071605652571
1603502471.9586697,3300,0.006122610531747341
1603502492.8690245,3400,0.00418566120788455
1603502513.8298144,3500,0.0063668848015367985
1603502534.7714987,3600,0.00446342071518302
1603502555.6429849,3700,0.005326372105628252
1603502576.5578692,3800,0.004767626523971558
1603502597.493953,3900,0.00493236118927598
1603502618.3957348,4000,0.0058207204565405846
1603502639.287263,4100,0.004593494348227978
1603502660.17383,4200,0.004759749863296747
1603502681.145448,4300,0.003191655036062002
1603502702.3622246,4400,0.0005879166419617832
1603502723.262188,4500,0.0010857259621843696
1603502744.1339433,4600,0.003341464791446924
1603502765.0058248,4700,0.002848503179848194
1603502785.9880161,4800,0.003331530839204788
1603502806.9172122,4900,0.0026510523166507483
1603502827.8768778,5000,0.0032416272442787886
1603502848.8000996,5100,0.0039018357638269663
1603502869.7336147,5200,0.002097737044095993
1603502890.6620567,5300,0.002970704808831215
1603502911.6137414,5400,0.0037153540179133415
1603502932.4658291,5500,0.003190397983416915
1603502953.3827047,5600,0.0028767504263669252
1603502974.2994528,5700,0.00279748416505754
1603502995.197146,5800,0.0022959045600146055
1603503016.147823,5900,0.003328109858557582
1603503037.0577424,6000,0.0029718352016061544
1603503057.9785151,6100,0.004411148373037577
1603503078.8994508,6200,0.0022700647823512554
1603503099.7765117,6300,0.002166935708373785
1603503120.7354832,6400,0.0026436951011419296
1603503141.62813,6500,0.003451284486800432
