Wall time,Step,Value
1603850930.7606916,0,0.125
1603850962.503439,100,0.37437498569488525
1603850994.9342911,200,0.484375
1603851027.1897306,300,0.5387499928474426
1603851059.4607754,400,0.5450000166893005
1603851091.7765589,500,0.5724999904632568
1603851124.093733,600,0.6175000071525574
1603851156.4668443,700,0.5912500023841858
1603851188.790927,800,0.5931249856948853
1603851221.0223007,900,0.6256250143051147
1603851253.3625085,1000,0.6168749928474426
1603851285.8365355,1100,0.6168749928474426
1603851318.0836644,1200,0.6081249713897705
1603851350.2873063,1300,0.6312500238418579
1603851382.6562762,1400,0.6449999809265137
1603851414.7136796,1500,0.6175000071525574
1603851447.0714781,1600,0.6474999785423279
1603851479.3897316,1700,0.6456249952316284
1603851511.6953351,1800,0.6487500071525574
1603851544.245704,1900,0.6493750214576721
1603851576.2398322,2000,0.637499988079071
1603851608.6300287,2100,0.6324999928474426
1603851640.9046535,2200,0.6831250190734863
1603851673.2058394,2300,0.6549999713897705
1603851705.4723322,2400,0.6768749952316284
1603851737.7466476,2500,0.6306250095367432
1603851769.8582757,2600,0.6356250047683716
1603851802.2645447,2700,0.6831250190734863
1603851834.6709332,2800,0.653124988079071
1603851866.7994688,2900,0.6549999713897705
1603851899.009638,3000,0.6518750190734863
1603851931.5028882,3100,0.6456249952316284
1603851963.751988,3200,0.6418750286102295
1603851996.078018,3300,0.6412500143051147
1603852028.3330345,3400,0.6449999809265137
1603852060.7283907,3500,0.653124988079071
1603852093.1163087,3600,0.6587499976158142
1603852125.549951,3700,0.6631249785423279
1603852157.95846,3800,0.6393749713897705
1603852190.0067222,3900,0.6606249809265137
1603852222.1559522,4000,0.6549999713897705
1603852254.4304652,4100,0.6618750095367432
1603852286.6839075,4200,0.6700000166893005
1603852318.9466925,4300,0.65625
1603852351.3974621,4400,0.6543750166893005
1603852383.7467613,4500,0.6737499833106995
1603852415.8611996,4600,0.6418750286102295
1603852448.1015751,4700,0.6781250238418579
1603852480.436549,4800,0.6581249833106995
1603852512.7353544,4900,0.6912500262260437
1603852545.181729,5000,0.6493750214576721
1603852577.3931906,5100,0.65625
1603852609.666495,5200,0.6393749713897705
1603852641.921289,5300,0.653124988079071
1603852674.3100078,5400,0.6737499833106995
1603852706.5790386,5500,0.6675000190734863
1603852738.9046357,5600,0.6668750047683716
1603852771.2284188,5700,0.6675000190734863
1603852803.5111997,5800,0.6575000286102295
1603852835.938998,5900,0.6875
1603852868.0250401,6000,0.6924999952316284
1603852900.465528,6100,0.653124988079071
1603852932.913811,6200,0.6506249904632568
1603852965.1155283,6300,0.6787499785423279
1603852997.4380093,6400,0.6587499976158142
1603853029.6132073,6500,0.653124988079071
1603853061.8617597,6600,0.6493750214576721
1603853094.2682333,6700,0.6506249904632568
1603853126.6428807,6800,0.6831250190734863
1603853158.9602137,6900,0.6681249737739563
1603853191.202037,7000,0.6575000286102295
1603853223.411825,7100,0.65625
1603853255.6882424,7200,0.6606249809265137
1603853287.990193,7300,0.6706249713897705
1603853320.2134588,7400,0.6812499761581421
1603853352.5035505,7500,0.6643750071525574
1603853384.61214,7600,0.6693750023841858
1603853416.9766552,7700,0.6543750166893005
1603853449.0381117,7800,0.6575000286102295
1603853481.4151134,7900,0.6481249928474426
1603853513.5664666,8000,0.6675000190734863
1603853546.0064507,8100,0.6650000214576721
1603853578.2883985,8200,0.6568750143051147
1603853610.742863,8300,0.6768749952316284
1603853643.0166113,8400,0.671875
1603853675.3191574,8500,0.6581249833106995
1603853707.4082453,8600,0.6725000143051147
1603853739.9100194,8700,0.6493750214576721
1603853772.1618752,8800,0.6743749976158142
1603853804.49914,8900,0.6650000214576721
1603853836.8609264,9000,0.6675000190734863
1603853869.1450036,9100,0.6818749904632568
1603853901.521857,9200,0.6837499737739563
1603853933.8604565,9300,0.6668750047683716
1603853966.2233794,9400,0.6518750190734863
1603853998.5955577,9500,0.6656249761581421
1603854030.8172963,9600,0.6756250262260437
1603854063.1458998,9700,0.6543750166893005
1603854095.5197053,9800,0.6568750143051147
1603854127.8249996,9900,0.6762499809265137
1603854160.0552893,10000,0.6575000286102295
1603854192.237325,10100,0.6675000190734863
1603854224.5492923,10200,0.6949999928474426
1603854256.9692707,10300,0.6606249809265137
1603854289.0319014,10400,0.6887500286102295
1603854321.361613,10500,0.6700000166893005
1603854353.54053,10600,0.6549999713897705
1603854385.7373822,10700,0.6725000143051147
1603854417.9997416,10800,0.6781250238418579
1603854450.2760997,10900,0.6606249809265137
1603854482.564909,11000,0.6756250262260437
1603854514.8743925,11100,0.668749988079071
1603854547.1878462,11200,0.6556249856948853
1603854579.4438658,11300,0.6831250190734863
1603854611.7449896,11400,0.6825000047683716
1603854643.8368835,11500,0.6937500238418579
1603854676.0593035,11600,0.65625
1603854708.4565806,11700,0.6812499761581421
1603854744.7587602,11800,0.6875
1603854803.2888436,11900,0.8799999952316284
1603854861.9657135,12000,0.9381250143051147
1603854920.5527227,12100,0.956250011920929
1603854979.1706312,12200,0.9768750071525574
1603855037.8408973,12300,0.9762499928474426
1603855096.4487221,12400,0.9818750023841858
1603855155.1626394,12500,0.9818750023841858
1603855213.8130693,12600,0.984375
1603855272.4520779,12700,0.9893749952316284
