Wall time,Step,Value
1603850930.760461,0,3.532130241394043
1603850962.5032425,100,2.6165666580200195
1603850994.9341512,200,2.0152175426483154
1603851027.1895504,300,1.8040050268173218
1603851059.4606326,400,1.7218564748764038
1603851091.7763891,500,1.6208717823028564
1603851124.0935616,600,1.5037943124771118
1603851156.4666934,700,1.5142877101898193
1603851188.7907686,800,1.4983493089675903
1603851221.022096,900,1.4040899276733398
1603851253.3623543,1000,1.3829841613769531
1603851285.8363318,1100,1.4374141693115234
1603851318.0835085,1200,1.4317350387573242
1603851350.2871218,1300,1.3840912580490112
1603851382.65611,1400,1.3242805004119873
1603851414.7135124,1500,1.371094822883606
1603851447.0712793,1600,1.2686470746994019
1603851479.389556,1700,1.3145782947540283
1603851511.6951816,1800,1.3372093439102173
1603851544.2455528,1900,1.2675695419311523
1603851576.23965,2000,1.2908364534378052
1603851608.629913,2100,1.2664507627487183
1603851640.904488,2200,1.2069135904312134
1603851673.2056706,2300,1.2917674779891968
1603851705.4721398,2400,1.1675903797149658
1603851737.7464573,2500,1.3092069625854492
1603851769.8581095,2600,1.3014496564865112
1603851802.2643626,2700,1.1844335794448853
1603851834.6707273,2800,1.2712011337280273
1603851866.799327,2900,1.2288738489151
1603851899.0094872,3000,1.2263920307159424
1603851931.5026824,3100,1.264115571975708
1603851963.7518175,3200,1.3502893447875977
1603851996.0778403,3300,1.2765908241271973
1603852028.3328686,3400,1.3005133867263794
1603852060.7282205,3500,1.2634295225143433
1603852093.1161413,3600,1.212303638458252
1603852125.54978,3700,1.1888965368270874
1603852157.9582772,3800,1.2577455043792725
1603852190.0065541,3900,1.224169373512268
1603852222.1557841,4000,1.2477675676345825
1603852254.4302714,4100,1.2442219257354736
1603852286.6837234,4200,1.2484428882598877
1603852318.9465702,4300,1.1739565134048462
1603852351.3972824,4400,1.1732585430145264
1603852383.7465785,4500,1.156341314315796
1603852415.8609993,4600,1.2578246593475342
1603852448.1014078,4700,1.2199442386627197
1603852480.4363418,4800,1.2865793704986572
1603852512.735192,4900,1.1247844696044922
1603852545.1815584,5000,1.2561064958572388
1603852577.3929949,5100,1.2129886150360107
1603852609.666299,5200,1.2223533391952515
1603852641.92107,5300,1.2399154901504517
1603852674.309798,5400,1.1552984714508057
1603852706.5788743,5500,1.153226375579834
