Wall time,Step,Value
1603299208.6833947,0,0.59375
1603299218.9137077,100,0.8920312523841858
1603299229.1384447,200,0.9698437452316284
1603299239.3640385,300,0.9771093726158142
1603299249.6037722,400,0.9806249737739563
1603299259.85448,500,0.9845312237739563
1603299270.1152794,600,0.9884374737739563
1603299280.353578,700,0.9876562356948853
1603299290.5922961,800,0.9895312786102295
1603299300.8386438,900,0.9887499809265137
1603299311.0422657,1000,0.9904687404632568
1603299321.2620828,1100,0.9892187714576721
1603299331.481136,1200,0.9874218702316284
1603299341.708236,1300,0.9884374737739563
1603299351.9462776,1400,0.9903125166893005
1603299362.1687071,1500,0.9892968535423279
1603299372.4036252,1600,0.9927343726158142
1603299382.628265,1700,0.9917968511581421
1603299392.9022229,1800,0.9926562309265137
1603299403.1476371,1900,0.9925781488418579
1603299413.3735821,2000,0.9928125143051147
1603299423.601808,2100,0.9917187690734863
1603299434.0750875,2200,0.9921875
1603299444.2905302,2300,0.9928125143051147
1603299454.5380309,2400,0.9928125143051147
1603299464.7604516,2500,0.9928125143051147
1603299474.9721677,2600,0.9942187666893005
1603299485.1716812,2700,0.9935937523841858
1603299495.3805926,2800,0.9928125143051147
1603299505.6047533,2900,0.9931250214576721
1603299515.8461597,3000,0.9945312738418579
1603299526.0502756,3100,0.9932031035423279
1603299536.2870214,3200,0.993359386920929
1603299546.5045848,3300,0.9939844012260437
1603299556.7248302,3400,0.994140625
1603299566.930331,3500,0.9942187666893005
1603299577.1403203,3600,0.9946874976158142
1603299587.3801239,3700,0.9951562285423279
1603299597.5765288,3800,0.9939844012260437
1603299607.8010798,3900,0.9944531321525574
1603299618.020096,4000,0.9947656393051147
1603299628.2202122,4100,0.9938281178474426
1603299638.424431,4200,0.9947656393051147
1603299648.6420743,4300,0.9947656393051147
1603299659.0899985,4400,1.0
1603299669.3187275,4500,0.994140625
1603299679.5357049,4600,0.9948437213897705
1603299689.7457626,4700,0.9951562285423279
1603299699.923573,4800,0.9946874976158142
1603299710.139114,4900,0.9960156083106995
1603299720.3490548,5000,0.9957031011581421
1603299730.545694,5100,0.99609375
1603299740.773289,5200,0.9950781464576721
1603299751.001025,5300,0.9951562285423279
1603299761.2155704,5400,0.9958593845367432
1603299771.426908,5500,0.9964843988418579
1603299781.65088,5600,0.9961718916893005
1603299791.86553,5700,0.9943749904632568
1603299802.0739515,5800,0.9955468773841858
1603299812.296414,5900,0.9960156083106995
1603299822.5248613,6000,0.9954687356948853
1603299832.7403643,6100,0.9955468773841858
1603299842.9395962,6200,0.9957031011581421
1603299853.1408694,6300,0.9959375262260437
1603299863.3578086,6400,0.9969531297683716
1603299873.5822532,6500,0.9954687356948853
