Wall time,Step,Value
1608287376.8439322,0,0.8125
1608287395.824343,100,0.9375
1608287414.9066892,200,0.8125
1608287433.9661865,300,0.875
1608287453.2572942,400,1.0
1608287497.0762231,500,1.0
1608287541.04317,600,1.0
1608287585.038466,700,1.0
1608287629.235486,800,1.0
1608287673.5208309,900,1.0
